"Timestamp","DeviceID","Channel","SensorName","SensorID","DataType","Unit","Value"
"2019-10-11T13:55:49.757Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.8"
"2019-10-11T13:55:34.705Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.6"
"2019-10-11T13:55:19.725Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.4"
"2019-10-11T13:55:05.338Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.8"
"2019-10-11T13:54:49.749Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.5"
"2019-10-11T13:54:34.649Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.7"
"2019-10-11T13:54:19.669Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.8"
"2019-10-11T13:54:05.002Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.7"
"2019-10-11T13:53:49.651Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.9"
"2019-10-11T13:53:34.590Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","66.8"
"2019-10-11T13:53:19.612Z","e98a7f60-ec1f-11e9-a4a3-7d841ff78abf","2","Humidity","dae414c0-ec20-11e9-a4a3-7d841ff78abf","analog_sensor","%","67"
